,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
81,730000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
82,740000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
83,750000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
84,760000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
85,770000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
86,780000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
87,790000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
88,800000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
89,810000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
90,820000,46.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
